global_step_id,file,axis,step_id_in_file,step_deg,abs_step_deg,direction,t_s,err_px_raw,offset_px,y_zero_px,y_gain_px_per_deg,y_aligned_px,err_norm_raw,y_zero_norm,sample_idx
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,0.972585,-80.3226,5.85564,-86.17824,17.235648,86.17824,-0.251008,-0.269307,29
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.005514,-80.3149,5.85564,-86.17054,17.234108,86.17054,-0.250984,-0.269283,30
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.050585,-80.2919,5.85564,-86.14754,17.229508,86.14754,-0.250912,-0.269211,31
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.078655,-80.3281,5.85564,-86.18374,17.236748,86.18374,-0.251025,-0.269324,32
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.111843,-80.3305,5.85564,-86.18614,17.237228,86.18614,-0.251033,-0.269332,33
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.143754,-80.3251,5.85564,-86.18074,17.236148,86.18074,-0.251016,-0.269315,34
0,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,0,-5.0,5.0,-,1.17367,-80.3167,5.85564,-86.17234,17.234468,86.17234,-0.25099,-0.269289,35
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.0,-80.2895,-80.303444,0.013944,0.002789,0.013944,-0.250905,4.3e-05,0
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.031108,-80.3245,-80.303444,-0.021056,-0.004211,-0.021056,-0.251014,-6.6e-05,1
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.063121,-80.4817,-80.303444,-0.178256,-0.035651,-0.178256,-0.251505,-0.000557,2
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.096121,-78.0799,-80.303444,2.223544,0.444709,2.223544,-0.244,0.006948,3
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.127011,-12.3756,-80.303444,67.927844,13.585569,67.927844,-0.038674,0.212274,4
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.157324,9.4314,-80.303444,89.734844,17.946969,89.734844,0.029473,0.280421,5
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.188573,9.0419,-80.303444,89.345344,17.869069,89.345344,0.028256,0.279204,6
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.22141,8.9168,-80.303444,89.220244,17.844049,89.220244,0.027865,0.278813,7
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.254206,8.926,-80.303444,89.229444,17.845889,89.229444,0.027894,0.278842,8
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.285155,8.9868,-80.303444,89.290244,17.858049,89.290244,0.028084,0.279032,9
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.33418,8.9456,-80.303444,89.249044,17.849809,89.249044,0.027955,0.278903,10
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.367288,8.9134,-80.303444,89.216844,17.843369,89.216844,0.027854,0.278802,11
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.399806,8.9513,-80.303444,89.254744,17.850949,89.254744,0.027973,0.278921,12
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.431294,8.9252,-80.303444,89.228644,17.845729,89.228644,0.027891,0.278839,13
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.477366,8.9196,-80.303444,89.223044,17.844609,89.223044,0.027874,0.278822,14
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.505275,8.9557,-80.303444,89.259144,17.851829,89.259144,0.027987,0.278935,15
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.535342,8.9705,-80.303444,89.273944,17.854789,89.273944,0.028033,0.278981,16
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.553139,8.904,-80.303444,89.207444,17.841489,89.207444,0.027825,0.278773,17
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.582158,8.9786,-80.303444,89.282044,17.856409,89.282044,0.028058,0.279006,18
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.614179,8.9799,-80.303444,89.283344,17.856669,89.283344,0.028062,0.27901,19
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.646126,8.9835,-80.303444,89.286944,17.857389,89.286944,0.028073,0.279021,20
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.678137,9.0036,-80.303444,89.307044,17.861409,89.307044,0.028136,0.279084,21
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.725093,8.9918,-80.303444,89.295244,17.859049,89.295244,0.028099,0.279047,22
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.757759,9.0785,-80.303444,89.381944,17.876389,89.381944,0.02837,0.279318,23
1,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,1,5.0,5.0,+,0.789216,9.0878,-80.303444,89.391244,17.878249,89.391244,0.028399,0.279347,24
