run_id,step_id,axis,step_deg,target_angle_deg,t_sec,err_px,err_norm,phase
1782157157,1,PAN,5.000,90.000,0.495439,-11.4294,-0.035717,step
1782157157,1,PAN,5.000,90.000,0.526498,-11.4656,-0.035830,step
1782157157,1,PAN,5.000,90.000,0.558443,-11.5949,-0.036234,step
1782157157,1,PAN,5.000,90.000,0.591088,-11.6292,-0.036341,step
1782157157,1,PAN,5.000,90.000,0.623129,-11.5669,-0.036147,step
1782157157,1,PAN,5.000,90.000,0.655142,-11.4817,-0.035880,step
1782157157,1,PAN,5.000,90.000,0.688589,-11.4258,-0.035706,step
1782157157,1,PAN,5.000,90.000,0.736682,-11.5583,-0.036120,step
1782157157,1,PAN,5.000,90.000,0.769650,-11.5511,-0.036097,step
1782157157,1,PAN,5.000,90.000,0.800716,-11.4598,-0.035812,step
1782157157,1,PAN,5.000,90.000,0.832717,-11.4478,-0.035774,step
1782157157,1,PAN,5.000,90.000,0.864729,-11.4312,-0.035723,step
1782157157,1,PAN,5.000,90.000,0.897242,-11.5350,-0.036047,step
1782157157,1,PAN,5.000,90.000,0.929235,-11.5782,-0.036182,step
1782157157,1,PAN,5.000,90.000,0.960293,-11.4948,-0.035921,step
1782157157,1,PAN,5.000,90.000,0.993550,-11.3848,-0.035578,step
1782157157,1,PAN,5.000,90.000,1.024571,-11.4436,-0.035761,step
1782157157,1,PAN,5.000,90.000,1.057547,-11.5558,-0.036112,step
1782157157,1,PAN,5.000,90.000,1.089066,-11.5404,-0.036064,step
1782157157,1,PAN,5.000,90.000,1.137051,-11.5188,-0.035996,step
1782157157,1,PAN,5.000,90.000,1.169081,-11.4944,-0.035920,step
1782157157,2,PAN,-5.000,90.000,-0.299999,-11.5923,-0.036226,pre
1782157157,2,PAN,-5.000,90.000,-0.267678,-11.5768,-0.036178,pre
1782157157,2,PAN,-5.000,90.000,-0.235110,-11.5630,-0.036134,pre
1782157157,2,PAN,-5.000,90.000,-0.203179,-11.5406,-0.036065,pre
1782157157,2,PAN,-5.000,90.000,-0.155562,-11.5697,-0.036155,pre
1782157157,2,PAN,-5.000,90.000,-0.123395,-11.6062,-0.036269,pre
1782157157,2,PAN,-5.000,90.000,-0.092038,-11.5931,-0.036229,pre
1782157157,2,PAN,-5.000,90.000,-0.059410,-11.5242,-0.036013,pre
1782157157,2,PAN,-5.000,90.000,-0.027387,-11.5109,-0.035972,pre
