run_id,step_id,axis,step_deg,target_angle_deg,t_sec,err_px,err_norm,phase
1782157406,1,TILT,5.000,90.000,0.639559,-0.9652,-0.004022,step
1782157406,1,TILT,5.000,90.000,0.671564,-1.2868,-0.005361,step
1782157406,1,TILT,5.000,90.000,0.704092,-0.8474,-0.003531,step
1782157406,1,TILT,5.000,90.000,0.735088,-0.8781,-0.003659,step
1782157406,1,TILT,5.000,90.000,0.767090,-1.1386,-0.004744,step
1782157406,1,TILT,5.000,90.000,0.799498,-0.9631,-0.004013,step
1782157406,1,TILT,5.000,90.000,0.831598,-0.9086,-0.003786,step
1782157406,1,TILT,5.000,90.000,0.861577,-1.1009,-0.004587,step
1782157406,1,TILT,5.000,90.000,0.895115,-1.0772,-0.004488,step
1782157406,1,TILT,5.000,90.000,0.927096,-0.9598,-0.003999,step
1782157406,1,TILT,5.000,90.000,0.960107,-1.0084,-0.004202,step
1782157406,1,TILT,5.000,90.000,1.008619,-1.0421,-0.004342,step
1782157406,1,TILT,5.000,90.000,1.040261,-0.9711,-0.004046,step
1782157406,1,TILT,5.000,90.000,1.072050,-1.0441,-0.004350,step
1782157406,1,TILT,5.000,90.000,1.104560,-1.0315,-0.004298,step
1782157406,1,TILT,5.000,90.000,1.135543,-1.0403,-0.004335,step
1782157406,1,TILT,5.000,90.000,1.167544,-1.0363,-0.004318,step
